id_noticia,url,ano,mes
121597,https://motor1.uol.com.br/news/121597/farois-a-laser-voce-esta-disposto-a-pagar-caro-pela-tecnologia/,2016,1
121653,https://motor1.uol.com.br/news/121653/inusitada-bmw-r1200-gs-ganha-versao-com-tracao-2x2/,2016,1
121707,https://motor1.uol.com.br/news/121707/fca-apresenta-central-uconnect-com-android-auto-e-apple-carplay/,2016,1
121745,https://motor1.uol.com.br/news/121745/ces-2016-bmw-apresenta-capacete-com-head-up-display-para-motos/,2016,1
121766,https://motor1.uol.com.br/news/121766/veja-a-lista-dos-10-carros-mais-vendidos-nos-eua-em-2015-sete-sao-japoneses/,2016,1
121779,https://motor1.uol.com.br/news/121779/teste-honda-pcx-2016-resolve-quase-todas-as-falhas-do-anterior/,2016,1
121783,https://motor1.uol.com.br/news/121783/video-motorista-de-lamborghini-tenta-a-sorte-ao-atravessar-alagamento/,2016,1
121788,https://motor1.uol.com.br/news/121788/na-contramao-de-civic-e-corolla-fluence-fica-mais-barato-e-parte-de-r-69990/,2016,1
121795,https://motor1.uol.com.br/news/121795/so-para-baixinhos-triumph-lanca-tiger-800xrx-low-seat-por-r-42990/,2016,1
121814,https://motor1.uol.com.br/news/121814/novo-toyota-rav4-2016-e-lancado-no-uruguai-por-us-45990/,2016,1
121850,https://motor1.uol.com.br/news/121850/chrysler-revela-nova-minivan-pacifica-sucessora-da-historica-town-country/,2016,1
121994,https://motor1.uol.com.br/news/121994/campeoes-de-2015-hatches-medios-vendas-do-segmento-despencam-42/,2016,1
121997,https://motor1.uol.com.br/news/121997/campeoes-de-venda-em-2015-sedas-medios-tem-podio-100-japones/,2016,1
122041,https://motor1.uol.com.br/news/122041/bmw-serie-3-reestilizado-chega-ao-brasil-com-preco-inicial-de-r-163950/,2016,1
122065,https://motor1.uol.com.br/news/122065/bmw-divulga-tabela-de-precos-atualizada-novo-x1-2016-parte-de-r-166950/,2016,1
122072,https://motor1.uol.com.br/news/122072/gol-a-diesel-ckd-no-ira-passat-iraque-10-curiosidades-sobre-as-exportacoes-da-vw/,2016,1
122125,https://motor1.uol.com.br/news/122125/peugeot-205-gti-e-eleito-melhor-hot-hatch-ja-produzido-veja-lista/,2016,1
