id_noticia,ano,titulo,cluster,tsne_x,tsne_y,menciona_eletrico,menciona_hibrido,menciona_autonomo,menciona_diesel,menciona_suv
130764,2016,Honda NSX de 581 cv tem 1ª unidade entregue na Europa; preço equivale a R$ 667 mil,2,33.8336,55.217384,True,True,False,False,False
124063,2016,"Segredo: Hyundai ""New Tucson"" chega em agosto por R$ 140 mil",5,-15.776699,59.46655,False,False,False,False,False
123952,2016,Primeiros Shelby GT350 e Mustang GT 2016 são entregues no Brasil,5,-50.79626,-0.5301685,False,False,False,False,False
126574,2016,"Teste Rápido: agora com motor 1.2, Citroën C3 entra no clube da eficiência",4,41.89321,-18.449568,False,False,False,False,False
127388,2016,Colisão frontal entre Versa e Tsuru a 128 km/h deixa o veterano destruído - vídeo,5,-3.4729836,2.680333,False,False,False,False,False
127817,2016,Mitsubishi traz o primeiro automóvel com tração 4x4 para o Salão de São Paulo,5,5.758375,-30.945261,False,False,False,True,False
126696,2016,Teste CARPLACE: Novo Honda Civic resgata a ousadia e foco na dinâmica,2,28.353052,52.986412,False,False,False,False,False
127700,2016,Fiat lança Toro com motor Tigershark 2.4 de 186 cv por R$ 98.730,4,20.690075,22.877457,False,False,False,True,False
131827,2016,"Oficial - Novo Kia Picanto 2017 deixa design ""bonzinho"" de lado",0,-38.507256,50.795956,False,False,False,False,False
125395,2016,Avaliação: nova Triumph Street Twin é deliciosamente urbana,5,-0.32052827,1.1298314,False,False,False,False,False
125934,2016,Teste: Yamaha NMax 160 mostra suas armas para o Honda PCX 150,2,36.676125,52.9214,False,False,False,False,False
126044,2016,Ford Fusion Sport de 325 cv é lançado nos EUA por US$ 34.450,5,-54.65454,11.9112215,False,False,False,False,False
130171,2016,"Conheça Per Gillbrand, pai do downsizing e do Saab Turbo",5,9.934072,7.2294974,False,False,False,False,False
125643,2016,Nissan GT-R Nismo: versão preparada de 608 cv chega aos EUA por US$ 174.990,4,-2.6923401,-40.1316,False,False,False,False,False
126220,2016,Teste Rápido: VW Gol 1.0 duas portas volta ao básico com dignidade,5,-4.1181097,0.76140076,False,False,False,False,False
125358,2016,"Sucesso nos EUA, Dodge Journey deve se manter no mercado até 2018",5,-2.7749865,-2.5208576,False,False,False,False,False
125537,2016,Honda lança linha CG 125i e 160 Cargo 2016 com novidades - veja preços,2,30.245512,51.02068,False,False,False,False,False
131522,2016,Hyundai inicia produção do novo i30;  vendas começam em janeiro,0,-14.874485,62.062664,False,False,False,True,False
126290,2016,Novo Renault Mégane Sedan: substituto do Fluence aparece agora em vídeo,5,23.293257,-22.089872,False,False,False,False,False
125505,2016,"Com visual reestilizado, Chery Tiggo 3 é lançado na Argentina por US$ 22,7 mil",5,-36.999725,-29.34195,False,False,False,False,False
123224,2016,Yamaha já anuncia nova MT-09 Tracer em seu site por R$ 45.990,5,50.097908,43.765465,False,False,False,False,False
132213,2016,Ford Fusion vira alvo de investigação por possível falha nos freios,5,-53.946026,9.383954,False,False,False,False,False
131730,2016,Ford deve apresentar novo motor V8 4.8 no Salão de Detroit,0,-51.45848,-0.32388705,False,False,False,False,False
129263,2016,Transform 2025+ é o nome da virada de mesa da Volkswagen,5,-14.540786,2.6037629,True,False,True,True,False
125054,2016,Flagra pré-estreia: compare as diferenças entre o Fiat Mobi Easy e o Way,5,23.077234,19.287405,False,False,False,False,False
125195,2016,"Prima rica da S10, GMC Canyon estreia motor V6 de 312 cv e câmbio de oito marchas",4,-5.5282655,8.473081,False,False,False,False,False
130400,2016,"De onde veio a palavra MOIA, nome do ""Uber"" da Volkswagen?",5,-17.684721,4.5469036,False,False,False,False,False
123989,2016,Chevrolet Sonic 2017 ganha novo visual e mais tecnologia - veja fotos,5,3.2242906,18.0414,False,False,False,False,False
125257,2016,Honda City hatchback é revelado oficialmente - veja fotos,2,29.320751,53.721664,False,False,False,False,False
125252,2016,"Com cara nova, CVT e ESP, Lifan X60 chega ao Brasil até novembro",5,-0.51604414,-1.2262872,False,False,False,False,False
123130,2016,Volta Rápida: Jaguar XF bebe na fonte do XE e quer a liderança do segmento,5,-1.8844333,0.82883155,False,False,False,False,False
130265,2016,"Carros duas portas, peruas, câmbio manual – Mais do que tudo, salvem o direito às opções",5,3.394639,-12.545616,False,False,False,False,True
130693,2016,Picapes mais vendidas – Montana supera Saveiro pelo 2º mês seguido em novembro,1,79.429016,-13.037611,False,False,False,False,False
131108,2016,Mercedes-Benz mostra o Classe E Coupé antes do Salão de Detroit,4,-23.326735,-65.2215,False,False,True,True,False
131753,2016,Elon Musk sugere túneis como solução para congestionamentos,5,-1.9701661,-11.530478,False,False,True,False,False
129262,2016,"Renault Fluence fica mais caro e versão de topo vai a R$ 103,6 mil",4,9.510349,22.767662,False,False,False,False,False
128593,2016,Carplace agora é Motor1.com Brasil. O que muda?,5,-1.5260365,-7.651874,False,False,False,False,False
126272,2016,Mazda encerra parceria com a Ford e deve fazer próxima picape junto com a Isuzu,0,-58.110703,19.211342,False,False,False,False,False
132221,2016,"Conheça o divertido escritório da Hot Wheels pelo ""mannequin challenge""",5,-0.37687922,-9.116668,False,False,False,False,False
126186,2016,"Duster e Duster Oroch 2017: direção elétrica, regeneração de energia e câmbio automático na picape",5,24.094053,-23.1395,False,False,False,False,False
126085,2016,Volkswagen Santana com visual atualizado aparece em primeiras imagens,5,-16.779526,7.8547893,False,False,False,False,False
131612,2016,Novo Mercedes-Benz Classe E Coupé estreia com série Edition 1,0,-21.491514,-66.71864,False,False,True,True,False
130921,2016,Câmbio de 9 marchas da GM chegará a 10 modelos em 2017,5,1.4753461,15.810305,False,False,False,True,True
129936,2016,"Desejada no Brasil, Volvo V90 se torna viatura de polícia na Suécia",5,3.3864985,-6.6436577,False,False,False,False,False
126251,2016,Nissan Pathfinder 2017 estreia com visual atualizado e motor mais potente,5,-1.5390127,-42.64917,False,False,False,False,False
127385,2016,Citroën C4 Lounge S: série com visual esportivo chega por R$ 86.740,5,44.77964,-18.077318,False,False,False,False,False
132332,2016,Fundação Toyota colabora e Sorocaba economiza cerca de R$ 650 mil,5,-15.521409,37.97018,False,False,False,False,False
125239,2016,Audi lança financiamento com opção de recompra e aplicativo para cálculo,5,-54.761505,-36.970036,False,False,False,False,False
131247,2016,Dardo localizador e armadilha - os novos recursos da polícia para acabar com perseguições,5,4.127326,-10.706801,False,False,False,False,False
121850,2016,"Chrysler revela nova minivan Pacifica, sucessora da histórica Town & Country",5,-0.725348,1.1014067,False,False,False,False,False
132035,2016,Os cartões que recebemos também lhe desejam Feliz Natal!,5,-1.557584,-8.245809,False,False,False,False,False
126417,2016,Novo Michelin Pilot Sport 4 traz vantagens e mais segurança para esportivos,5,1.0561403,-0.054365966,False,False,False,False,False
130420,2016,Renault Sandero e Logan começam a ser produzidos na Argentina; Brasil vai de Kwid,0,26.116652,-24.965534,False,False,False,False,False
131069,2016,Importados têm segundo pior mês do ano em novembro; Sportage é o mais vendido,5,59.89022,4.9859967,False,False,False,False,False
127920,2016,Honda NXR 160 Bros 2017 chega com novas cores e preço inicial de R$ 9.990,2,30.160238,50.564693,False,False,False,False,False
124237,2016,Mais um flagra do Fiat Mobi: versão básica não tem limpador traseiro,5,23.02179,19.49002,False,False,False,False,False
130421,2016,Bentley comemora sucesso do Bentayga e já prepara carroceria cupê,5,-12.494697,-7.73207,False,False,False,False,True
